date,weekday,pax,location
2-1-2025,donderdag,17,nassauzaal
2-1-2026,vrijdag,35,nassauzaal
3-1-2025,vrijdag,80,extern
3-1-2026,zaterdag,49,nassauzaal
4-1-2025,zaterdag,9,prinsessezaal
4-1-2025,zaterdag,7,heer ivo zaal
4-1-2025,zaterdag,29,hofdame
4-1-2025,zaterdag,15,nassauzaal
4-1-2026,zondag,450,extern
5-1-2025,zondag,4,prinsessezaal
7-1-2024,zondag,25,hofdame
7-1-2024,zondag,10,heer ivo zaal
7-1-2024,zondag,16,hofdame
7-1-2025,dinsdag,18,nassauzaal
7-1-2025,dinsdag,13,hofdame
7-1-2025,dinsdag,8,prinsessezaal
7-1-2025,dinsdag,25,extern
7-1-2025,dinsdag,18,extern
10-1-2024,woensdag,15,nassauzaal
10-1-2024,woensdag,10,heer ivo zaal
10-1-2025,vrijdag,25,extern
11-1-2024,donderdag,4,prinsessezaal
11-1-2025,zaterdag,21,nassauzaal
11-1-2025,zaterdag,30,nassauzaal
12-1-2024,vrijdag,130,hofdame
1-2-2025,zaterdag,40,hofdame
2-2-2025,zondag,180,hofdame
2-2-2026,maandag,14,nassauzaal
2-2-2026,maandag,13,heer ivo zaal
2-2-2026,maandag,40,extern
4-2-2025,dinsdag,10,heer ivo zaal
4-2-2026,woensdag,15,extern
5-2-2026,donderdag,70,binnentuin
5-2-2026,donderdag,22,opkamer
6-2-2025,donderdag,15,nassauzaal
7-2-2024,woensdag,18,hofdame
7-2-2024,woensdag,16,nassauzaal
7-2-2025,vrijdag,14,hofdame
7-2-2025,vrijdag,40,extern
8-2-2024,donderdag,10,extern
8-2-2025,zaterdag,8,hofdame
9-2-2025,zondag,7,prinsessezaal
9-2-2025,zondag,10,heer ivo zaal
9-2-2025,zondag,16,nassauzaal
9-2-2025,zondag,17,nassauzaal
9-2-2025,zondag,7,heer ivo zaal
9-2-2025,zondag,4,heer ivo zaal
10-2-2025,maandag,25,nassauzaal
10-2-2025,maandag,11,opkamer
11-2-2025,dinsdag,15,nassauzaal
12-2-2024,maandag,10,hofdame
12-2-2025,woensdag,10,heer ivo zaal
12-2-2025,woensdag,30,extern
12-2-2025,woensdag,30,extern
2-3-2025,zondag,68,extern
2-3-2026,maandag,9,hofdame
2-3-2026,maandag,7,heer ivo zaal
2-3-2026,maandag,8,prinsessezaal
